Eesnimi;Perenimi;Sugu;Sünniaeg;Isikukood;Maakond;Tänav;Asula;Asulatüüp;Mobiiltelefon;Telefon;Surmaaeg;Vanus
Markko;Sokk;M;18.08.1944;34408182034;Järvamaa;Lepalinnu;Võrevere;küla;53659612;3875812;;
Maarika;Andreev;N;18.08.2000;60008185624;Tartumaa;Iva;Kõivu;küla;50939250;7305066;04.06.2008;7
Maret;Liiv;N;18.08.1978;47808183628;Harjumaa;Pikk;Ääsmäe;küla;54306690;6634027;;
Margo;Golubev;M;18.08.1937;33708181039;Ida-Virumaa;Paekivi;Rausvere;küla;55548938;3347978;;
Kris;Valge;M;18.08.2008;50808186804;Pärnumaa;Luku;Alu;küla;55687069;4406833;;
Argo;Andreev;M;18.08.1980;38008183556;Lääne-Virumaa;Kahva;Moe;küla;59290913;3225114;;
Līga;Žuravljov;N;18.08.2009;60908188065;Harjumaa;Kaevu põik;Nõrava;küla;51525281;6724602;09.09.2011;2
Emili;Randmaa;N;18.08.1907;40708187696;Viljandimaa;Naeri;Luiga;küla;53272093;4319026;;
Raina;Org;N;18.08.1996;49608186810;Viljandimaa;Madalmaa;Kalvre;küla;53753038;4347061;;
Melissa;Kroon;N;18.08.1957;45708181745;Raplamaa;K. E. von Baeri;Laukna;küla;53421485;4899428;;
Brenda;Rosenberg;N;18.08.1962;46208184014;Saaremaa;Ugala;Pahavalla;küla;59249596;4554709;;
Rain;Jeršov;M;29.07.1967;36707298009;Tartumaa;Sepa;Savastvere;küla;;7633210;18.08.1984;17
Astrid;Rätsep;N;18.08.2005;60508184934;Võrumaa;Tursa;Indra;küla;50127003;7871850;;
Eliisabet;Kaljuvee;N;18.08.1986;48608184049;Lääne-Virumaa;Merikanni;Kiva;küla;57289140;3203401;;
Britta;Solovjov;N;18.08.1960;46008184472;Harjumaa;Mäe;Ilmastalu;küla;53968953;6383341;;
Agnessa;Mägi;N;18.08.1994;49408181330;Jõgevamaa;Kanarbiku;Pikkjärve;küla;57066312;7780913;03.10.1995;1
Marili;Arula;N;18.08.1966;46608181505;Saaremaa;Püü;Tiitsuotsa;küla;59116717;4537477;;
Semjon;Vill;M;18.08.1937;33708189741;Järvamaa;Rahu;Änari;küla;59585294;3868365;;
